Author,Resort,Count,Role,cluster
Felix Diergarten,feuilleton,1,Unknown,0
Felix Heiduk,meinung,1,Unknown,3
Felix Lill,sport,4,Unknown,5
Felix Schmitt,sport,1,Unknown,6
Felix Schraner,meinung,1,Unknown,3
Filip Jirouš,meinung,1,Unknown,7
Fleur Bouron,international,1,Unknown,2
Florentin Erb,Unspecified,10,Video / Social Media,2
Florian Bissig,feuilleton,3,Unknown,0
Florian Coulmas,feuilleton,3,Unknown,0
Florian Haupt,sport,63,Unknown,6
Florian Kalotay,panorama,1,Unknown,5
Florian Keisinger,feuilleton,3,Unknown,3
Florian Schoop,gesellschaft,16,Wochenende / Gesellschaft,9
Florian Seliger,Unspecified,9,Visuals & Tech,3
Florian Spring,sport,1,Unknown,6
Florian Sturm,wissenschaft,1,Unknown,3
Florian Weber,feuilleton,1,Unknown,7
Flurin Clalüna,folio,7,Redaktion,9
Forrest Rogers,Unspecified,7,Visuals & Tech,2
Francesca Prader,zuerich,66,Zürich,12
Francesco Ciccolella,wissenschaft,1,Unknown,3
Franco Gervasi,Unspecified,1,Visuals & Tech,2
Frank Bodin,feuilleton,1,Unknown,1
Frank Heer,feuilleton,43,Kultur,0
Frank Lübberding,feuilleton,1,Unknown,1
Frank Scheffold,meinung,1,Unknown,1
Frank Schäfer,feuilleton,4,Unknown,0
Frank von Niederhäusern,themen-dossiers,1,Unknown,0
Frankfurt Forst,international,1,Unknown,1
Franz Haas,feuilleton,7,Unknown,0
Franz Schuh,feuilleton,1,Unknown,9
Franz Zelger,feuilleton,3,Unknown,0
Franziska Herrmann,gesellschaft,1,Unknown,0
Frederik Jötten,wissenschaft,3,Unknown,11
Frederik Tillitz,international,5,Unknown,5
Fridolin Marty,meinung,1,Unknown,7
Friedrich L. Sell,meinung,1,Unknown,7
Gabriele Detterer,feuilleton,1,Unknown,2
Gais Karin Hofer,sport,1,Unknown,6
Georg Humbel,schweiz,48,Schweiz und Debatte,7
Georg Häsler,pro,42,NZZ Pro,3
Georg Junge,meinung,1,Unknown,3
Georg Pfleiderer,meinung,1,Unknown,1
Georg Renner,international,2,Unknown,9
Georg Rich,meinung,1,Unknown,3
Georg Rüschemeyer,wissenschaft,19,Wissenschaft,11
George Sheldon,meinung,1,Unknown,3
Gerald Ehegartner,meinung,2,Unknown,0
Gerhard Bläske,wirtschaft,10,Unknown,9
Gerhard Lob,schweiz,7,Unknown,7
Gerhard Mack,feuilleton,18,Unknown,0
Gerhard Schwarz,international,1,Unknown,7
Gerlinde Groitl,meinung,1,Unknown,1
Gernot Blümel,meinung,1,Unknown,0
Gian Ehrenzeller Keystone,schweiz,1,Unknown,1
Gilles Steinmann,international,11,Bildredaktion,7
Gina Bachmann,schweiz,23,Schweiz und Debatte,7
Gina Fischli,feuilleton,1,Unknown,0
Gioia da Silva,technologie,30,Wissenschaft,3
Giorgio Scherrer,zuerich,61,Zürich,12
Giovanni Capriotti,international,1,Unknown,2
Giovanni Fantacci,wissenschaft,1,Unknown,11
Gisela Dachs,international,6,Unknown,2
Giuseppe Gracia,feuilleton,6,Unknown,1
Glarus Gian,schweiz,1,Unknown,7
Gordana Mijuk,international,12,International,2
Gregory Gilbert-Lodge,folio,1,Unknown,9
Guido Kalberer,feuilleton,9,Unknown,1
Guido Schätti,wirtschaft,29,Wirtschaft,3
Guido Steinberg,meinung,1,Unknown,9
Guillaume Ptak,international,3,Unknown,2
Gunther Schnabl,meinung,2,Unknown,3
Guy Peterson,international,1,Unknown,5
Gwendolin Schönfeld,wissenschaft,1,Unknown,11
Gérald Kurth,schweiz,10,Unknown,7
Gülistan Gürbey,meinung,1,Unknown,2
Günther Baechler,meinung,1,Unknown,7
Günther Meier,schweiz,12,Unknown,7
Halyna Petrosanyak,feuilleton,1,Unknown,0
Hamed Abdel-Samad,feuilleton,2,Unknown,0
Hanna Ender,Unspecified,6,Unknown,1
Hannes Boos,schweiz,3,Unknown,7
Hans Christoph Buch,meinung,1,Unknown,2
Hans Gutbrod,meinung,1,Unknown,3
Hans Kissling,meinung,1,Unknown,3
Hans Monath,international,1,Unknown,2
Hans Stalder,meinung,1,Unknown,7
Hans Ten Doornkaat,feuilleton,1,Unknown,0
Hans Ulrich Gumbrecht,feuilleton,1,Unknown,1
Hans Widmer,meinung,1,Unknown,3
Hans ten Doornkaat,feuilleton,2,Unknown,0
Hans-Christof Kraus,meinung,1,Unknown,1
Hanspeter Amstutz,meinung,2,Unknown,12
Hanspeter Künzler,feuilleton,6,Unknown,9
Hansueli Schöchli,wirtschaft,105,Wirtschaft,7
Harald Jähner,feuilleton,1,Unknown,2
Harald Krieg,international,2,Unknown,1
Hassan Bilal,international,1,Unknown,2
Heba Khamis,international,2,Unknown,2
Heidi Diehl,reisen,2,Unknown,0
Heinz Buhofer,meinung,1,Unknown,7
Heinz Theisen,meinung,1,Unknown,9
Helge Bendl,reisen,1,Unknown,9
Helmut Stalder,feuilleton,1,Unknown,5
Helsinki Roland Shaw,international,1,Unknown,5
Hendrik Feindt,feuilleton,1,Unknown,0
Henning Hölder,finanzen,1,Unknown,1
Herbert Schmidt,mobilitaet,2,Wissenschaft,5
Herbert Wulf,meinung,3,Unknown,5
Herbie Schmidt,mobilitaet,52,Wissenschaft,5
Herfried Münkler,meinung,2,Unknown,1
Heribert Dieter,meinung,3,Unknown,3
Hermann Feldmeier,wissenschaft,1,Unknown,11
Hoffer Ramallah,international,1,Unknown,2
Holger Heimann,feuilleton,1,Unknown,0
Homayoun Alizadeh,meinung,1,Unknown,2
Horst-Michael Prasser,meinung,1,Unknown,3
Hubert Wolf,feuilleton,1,Unknown,9
Hubertus Adam,feuilleton,4,Unknown,0
Hubertus Knabe,feuilleton,1,Unknown,2
Hussein Aboubakr Mansour,meinung,1,Unknown,2
Ian Kershaw,nzz-am-sonntag,1,Unknown,7
Ida Götz,international,7,Visuals & Tech,2
Igor Toker,meinung,1,Unknown,3
Ilija Trojanow,feuilleton,1,Unknown,2
Ilma Rakusa,feuilleton,9,Unknown,0
Ines Häfliger,sport,1,Unknown,6
Ines Rütten,sport,1,Unknown,6
Inga Rogg,international,2,Unknown,2
Ingo Petz,feuilleton,1,Unknown,2
Ingrid Meissl Årebo,wirtschaft,4,Unknown,1
Ingun Alette Maehlum,international,1,Unknown,5
Inna Hartwich,international,9,Nachrichten,0
Interview Stephan Ramming,sport,1,Unknown,6
Ion Karagounis,meinung,1,Unknown,3
Irene Binal,feuilleton,1,Unknown,0
Irina Rastorgujewa,feuilleton,9,Unknown,2
Irène Herrmann,pro,1,Unknown,1
Isabel Heusser,zuerich,102,Zürich,12
